RepoName;RepoType;GitHubLanguages
FabianTerhorst/Isometric;NonML;Java,Shell
Fewbytes/rubber-docker;NonML;Python,C,Vim script
FlexMonkey/Filterpedia;NonML;Swift,Metal
Flipboard/bottomsheet;NonML;Java
Flipboard/react-canvas;NonML;JavaScript
FluentNHibernate/fluent-nhibernate;NonML;C#,PowerShell,JavaScript
FontCustom/fontcustom;NonML;Ruby,Python
FormidableLabs/nodejs-dashboard;NonML;JavaScript
FormidableLabs/react-game-kit;NonML;JavaScript
FormidableLabs/react-music;NonML;JavaScript
FormidableLabs/webpack-dashboard;NonML;JavaScript
ForrestKnight/open-source-cs;NonML;
FountainJS/generator-fountain-webapp;NonML;JavaScript
FoxUSA/OpenNote;NonML;JavaScript
FrDH/dotdotdot-js;NonML;TypeScript,JavaScript
FrankFang/best-chinese-front-end-blogs;NonML;
FreddyChen/NettyChat;NonML;Java
FreemanZhang/system-design;NonML;Java
FremyCompany/css-grid-polyfill;NonML;JavaScript
FreyaHolmer/ShaderForge;NonML;C#,ShaderLab
Friend-LGA/LGAlertView;NonML;Objective-C,C,Ruby
FriendsOfPHP/pickle;NonML;PHP,Gherkin,Batchfile
FudanNLP/nlp-beginner;NonML;
FutureKit/FutureKit;NonML;Swift,Objective-C,Ruby
G-Joker/WeaponApp;NonML;Java,Groovy,PLpgSQL
GDSSecurity/Windows-Exploit-Suggester;NonML;Python
GGGHub/Reader;NonML;Objective-C,C,Objective-C++
GangZhuo/BaiduPCS;NonML;Roff,C,Shell
GavinYellow/SharpSCADA;NonML;C#,Batchfile
GcsSloop/AndroidNote;NonML;Java
GeekyAnts/NativeBase-KitchenSink;NonML;JavaScript,Objective-C,Java
GeekyAnts/react-native-easy-grid;NonML;JavaScript
Genetic-Malware/Ebowla;NonML;Python,Makefile,C
GetStream/vg;NonML;Go,Shell,Makefile
GhostText/GhostText;NonML;JavaScript,Swift,Shell
GianlucaGuarini/allora;NonML;JavaScript
GitHawkApp/MessageViewController;NonML;Swift,Ruby,Objective-C
GitHub-Laziji/VBlog;NonML;Vue,JavaScript
GitLqr/LQRWeChat;NonML;Java
GitbookIO/gitbook;NonML;JavaScript
Glench/fuzzyset.js;NonML;JavaScript
Glimpse/Glimpse;NonML;C#,JavaScript,ASP
GoogleChrome/dialog-polyfill;NonML;JavaScript
GoogleChrome/omnitone;NonML;JavaScript,Shell
GoogleChromeLabs/preload-webpack-plugin;NonML;JavaScript
GoogleChromeLabs/prerender-loader;NonML;JavaScript
GoogleChromeLabs/simplehttp2server;NonML;Go,Ruby,Shell
GoogleChromeLabs/sw-toolbox;NonML;JavaScript,Ruby
GoogleChromeLabs/webpack-libs-optimizations;NonML;
GoogleTrends/data;NonML;JavaScript
GrafiteInc/Builder;NonML;PHP,JavaScript,Vue
GraphChi/graphchi-cpp;NonML;C++,Shell,C
Grover-c13/PokeGOAPI-Java;NonML;Java
HIPS/Spearmint;NonML;Python,Shell
HJaycee/JCAlertController;NonML;Objective-C,Ruby
HKUST-Aerial-Robotics/VINS-Mono;NonML;C++,CMake,Dockerfile
HackPlan/AndroidCharts;NonML;Java
Hacker0x01/hacker101;NonML;SCSS,JavaScript,Shell
HackerPoet/NonEuclidean;NonML;C++,GLSL
Hamadakram/Sneaker;NonML;Kotlin,Java
HarshilShah/DeckTransition;NonML;Swift,Ruby,Objective-C
HemantNegi/jquery.sumoselect;NonML;JavaScript,Shell
Heydon/inclusive-design-checklist;NonML;JavaScript
Hitomis/CrazyShadow;NonML;Java
Homebrew/legacy-homebrew;NonML;
Honlan/DeepInterests;NonML;
HoraApps/LeafPic;NonML;Java,Kotlin,Shell
HouzuoGuo/tiedot;NonML;Go,Python,JavaScript
HubSpot/vex;NonML;JavaScript
HuberTRoy/MusicBox;NonML;Python
HuberTRoy/leetCode;NonML;Python,JavaScript
HugoGiraudel/sass-boilerplate;NonML;SCSS
Hyperparticle/one-pixel-attack-keras;NonML;Jupyter Notebook,Python
IAIK/meltdown;NonML;C,Makefile,Shell
IBM-Blockchain/marbles;NonML;JavaScript,Go,Dockerfile
IBM/css-gridish;NonML;JavaScript
ICT-BDA/EasyML;NonML;Java,JavaScript,Python
IFTTT/RazzleDazzle;NonML;Swift,Ruby,Objective-C
IFTTT/polo;NonML;Ruby
IFmiss/vue-music;NonML;Vue,SCSS
IIIIllllIIIIllllIIIIllllIIIIllllIIIIll/isicp;NonML;JavaScript,Python,Shell
IanHarvey/bluepy;NonML;C,Python,Objective-C
IcaliaLabs/Presentr;NonML;Swift,Ruby,Objective-C
ImageOptim/ImageOptim;NonML;Objective-C,C,Makefile
Imangazaliev/DiDOM;NonML;PHP
Indatus/dispatcher;NonML;PHP
Instagram/ig-json-parser;NonML;Java,Kotlin
IoLanguage/io;NonML;C,Io,C++
IonicaBizau/git-stats;NonML;JavaScript,Shell
IonicaBizau/github-contributions;NonML;JavaScript,Dockerfile
IonicaBizau/gridly;NonML;
IonicaBizau/image-to-ascii;NonML;JavaScript,Shell
IonicaBizau/node-cobol;NonML;COBOL,JavaScript
IonicaBizau/scrape-it;NonML;JavaScript,Shell,Dockerfile
Izzimach/react-three;NonML;JavaScript,Clojure
JBakamovic/yavide;NonML;Shell,Vim script,Python
JEG2/highline;NonML;Ruby
Jack-Cherish/python-spider;NonML;Python,JavaScript
Jack-Lee-Hiter/AlgorithmsByPython;NonML;Python,Shell
Jack000/SVGnest;NonML;JavaScript
JacksonTian/doxmate;NonML;JavaScript,Makefile
JakeWharton/RxReplayingShare;NonML;Java,Kotlin,Shell
JakeWharton/kotterknife;NonML;Kotlin,Shell
JakeWharton/timber;NonML;Kotlin,Java
JakobEngel/dso;NonML;C++,CMake
JakubOnderka/PHP-Console-Color;NonML;PHP
JakubOnderka/PHP-Console-Highlighter;NonML;PHP
JamieAppleseed/selectToAutocomplete;NonML;JavaScript
JaredCubilla/sublime;NonML;
Jasonchenlijian/FastBle;NonML;Java
JaviSoto/JSBadgeView;NonML;Objective-C,Ruby
Jeiwan/blockchain_go;NonML;Go
JensRavens/Interstellar;NonML;Swift,Ruby,Objective-C
JeremyFagis/dropify;NonML;SCSS,JavaScript
Jermic/Android-Crack-Tool;NonML;
JessYanCoding/AndroidAutoSize;NonML;Java
JessYanCoding/ArmsComponent;NonML;Java
JessYanCoding/ProgressManager;NonML;Java
Jessecar96/SteamBot;NonML;C#
Jessecar96/SteamDesktopAuthenticator;NonML;C#,Batchfile
JesusM/FingerprintManager;NonML;Kotlin,Java
JetradarMobile/desertplaceholder;NonML;Java
Jianru-Lin/lambda-view;NonML;JavaScript
JingYeoh/FragmentRigger;NonML;Java
Jinjiang/h5slides;NonML;JavaScript,Shell
JinnLynn/genpac;NonML;Python,JavaScript,Shell
JoanZapata/android-iconify;NonML;Java
JoelBesada/activate-power-mode;NonML;CoffeeScript
John-Lluch/SWRevealViewController;NonML;Objective-C,Ruby
JohnSundell/SwiftPlate;NonML;Swift,Python,Ruby
JohnSundell/TestDrive;NonML;Swift
JohnSundell/Unbox;NonML;Swift,Ruby
JohnTroony/php-webshells;NonML;PHP,Perl,Java
JorenSix/TarsosDSP;NonML;Java,Shell,Ruby
JosephSilber/page-cache;NonML;PHP
JuanitoFatas/fast-ruby;NonML;Ruby
JulietaUla/Montserrat;NonML;Python
JustClear/blurify;NonML;TypeScript,JavaScript
KELiON/cerebro;NonML;JavaScript,NSIS,Shell
KJCracks/Clutch;NonML;Objective-C,C,CMake
KMindeguia/movies;NonML;Objective-C,Ruby
Kaldaien/FAR;NonML;C++
Kaopiz/KProgressHUD;NonML;Java
Karumi/KataSuperHeroesAndroid;NonML;Java
KeepSafe/ReLinker;NonML;Java
Kelin-Hong/ScrollablePanel;NonML;Java
KelvinJin/AnimatedCollectionViewLayout;NonML;Swift,Ruby,Objective-C
KhronosGroup/glTF-Blender-Exporter;NonML;Python,Batchfile
KieSun/Front-end-knowledge;NonML;
KingJA/LoadSir;NonML;Java
KnightOS/KnightOS;NonML;Assembly,Makefile
KnuffApp/Knuff;NonML;Objective-C,C,Ruby
Kobzol/hardware-effects;NonML;C++,Python,CMake
Kofktu/KUIPopOver;NonML;Swift,Ruby,Objective-C
Kong/unirest-nodejs;NonML;JavaScript,Makefile
KonstantinSchubert/zero;NonML;Python
Kotlin/anko;NonML;Kotlin,Java
Krisiacik/ImageViewer;NonML;Swift,Ruby
KyleAMathews/react-headroom;NonML;JavaScript
KyleAMathews/react-spinkit;NonML;JavaScript,Makefile
Kyubyong/numpy_exercises;NonML;Python
Kyubyong/transformer;NonML;Python,Perl,Shell
LLK/scratch-flash;NonML;ActionScript,Groovy
LPology/Simple-Ajax-Uploader;NonML;JavaScript,PHP
LantaoYu/SeqGAN;NonML;Python
LarsWerkman/HoloColorPicker;NonML;Java
Laverna/laverna;NonML;JavaScript
LazarSoft/jsqrcode;NonML;JavaScript
LeaVerou/dabblet;NonML;JavaScript,PHP
LeaVerou/prefixfree;NonML;JavaScript,Shell
Leaflet/Leaflet.markercluster;NonML;JavaScript
Leo-G/DevopsWiki;NonML;
LeoMobileDeveloper/ReactNativeMaterials;NonML;
LeonardoZ/java-concurrency-patterns;NonML;Java
Linuxbrew/brew;NonML;Ruby,Roff,Shell
LionSec/xerosploit;NonML;Ruby,Python,Makefile
LitePalFramework/LitePal;NonML;Java,Kotlin
Lobos/react-ui;NonML;JavaScript
LogRocket/redux-logger;NonML;JavaScript
LordNoteworthy/al-khaser;NonML;C++,C,C#
Louiszhai/tool;NonML;JavaScript,Shell
Lucifer1993/AngelSword;NonML;Python
Lucifier129/react-lite;NonML;JavaScript
LuckyJayce/LargeImage;NonML;Java
LukeDeighton/WheelView;NonML;Java
LukyVj/Colorify.js;NonML;JavaScript,SCSS
Luolc/AdaBound;NonML;Python,Shell
Lusitanian/PHPoAuthLib;NonML;PHP
Lyndir/MasterPassword;NonML;Objective-C,Java,C
MAXDeliveryNG/slideview;NonML;Java
MHaggis/sysmon-dfir;NonML;
MPOS/php-mpos;NonML;PHP,Smarty,JavaScript
MaJerle/stm32f429;NonML;C,Assembly,Rich Text Format
MacDownApp/macdown;NonML;Rich Text Format,Objective-C,C
MacGapProject/MacGap1;NonML;Objective-C,C
MacGesture/MacGesture;NonML;Objective-C,Ruby,Rich Text Format
MagicStack/MagicPython;NonML;JavaScript,Python,Reason
MailCore/mailcore2;NonML;C++,C,Objective-C++
Malabarba/aggressive-indent-mode;NonML;Emacs Lisp
Malinskiy/SuperRecyclerView;NonML;Java
Mange/roadie;NonML;Ruby
Maratyszcza/NNPACK;NonML;C,C++,Python
Marginal/QLVideo;NonML;Objective-C,Rich Text Format,Shell
MarshallOfSound/electron-devtools-installer;NonML;TypeScript
Marten4n6/EvilOSX;NonML;Python,Dockerfile
Marxon13/M13Checkbox;NonML;Swift,Mathematica,Ruby
MasayukiSuda/EasingInterpolator;NonML;Java
MasayukiSuda/FPSAnimator;NonML;Java
MasteringOpenCV/code;NonML;C++,C,Java
MatiBot/MBCircularProgressBar;NonML;Objective-C,Shell,Ruby
MattRix/Futile;NonML;C#,ShaderLab
Medicean/VulApps;NonML;Shell
Medium/medium-api-docs;NonML;
Meituan-Dianping/SQLAdvisor;NonML;C,C++,Makefile
Meituan-Dianping/Shield;NonML;Java,Kotlin
Meituan-Dianping/Zebra;NonML;Java,Vue,JavaScript
MengTo/DesignerNewsApp;NonML;Objective-C,Swift,C
Mercateo/rust-for-node-developers;NonML;Rust,TypeScript,JavaScript
MetinSeylan/Vue-Socket.io;NonML;JavaScript
MichalStrehovsky/zerosharp;NonML;C#,Batchfile
MicheleBertoli/react-automata;NonML;JavaScript
Micropoor/Micro8;NonML;
MicrosoftEdge/JSBrowser;NonML;JavaScript,C++
MicrosoftEdge/MSEdge;NonML;
MiguelCatalan/MaterialSearchView;NonML;Java
MikeInnes/diff-zoo;NonML;Julia
MikeMcl/bignumber.js;NonML;JavaScript,Java
Mimino666/langdetect;NonML;Python
MindorksOpenSource/android-mvvm-architecture;NonML;Java
MindorksOpenSource/from-java-to-kotlin;NonML;Java,Kotlin
MinhasKamal/DownGit;NonML;JavaScript
MiniKeePass/MiniKeePass;NonML;Objective-C,Swift,Perl
MoOx/postcss-cssnext;NonML;JavaScript
ModusCreateOrg/budgeting;NonML;JavaScript
Moeditor/Moeditor;NonML;JavaScript
Moham3dRiahi/Th3inspector;NonML;Perl,Shell
MongoEngine/flask-mongoengine;NonML;Python
Mortennn/Dozer;NonML;Swift,Shell,Objective-C
MrNothing/AI-Blocks;NonML;JavaScript,Python,Batchfile
MrSwitch/hello.js;NonML;JavaScript,Less,Shell
Muddz/StyleableToast;NonML;Java
Mulham-Raee/Horizontal-Calendar;NonML;Java
MxABC/LBXScan;NonML;Objective-C,C,Ruby
NUKnightLab/TimelineJS3;NonML;JavaScript,Less,Python
NVIDIA/FastPhotoStyle;NonML;Python,Shell,Dockerfile
NVIDIA/nv-wavenet;NonML;Cuda,Python,C++
NVIDIAGameWorks/PhysX-3.4;NonML;C++,C,Makefile
Naphier/unity-design-patterns;NonML;C#,ShaderLab
NeXTs/Clusterize.js;NonML;JavaScript
NekR/offline-plugin;NonML;JavaScript,Smarty
NetEaseGame/ATX;NonML;Python,JavaScript,Go
Netflix-Skunkworks/Scumblr;NonML;Ruby,JavaScript,CoffeeScript
Netflix-Skunkworks/stethoscope;NonML;Python,DIGITAL Command Language,JavaScript
Netflix/ribbon;NonML;Java
Nevcairiel/LAVFilters;NonML;C++,C,Inno Setup
Newmu/dcgan_code;NonML;Python
NikolaiT/GoogleScraper;NonML;Python,Dockerfile,JavaScript
Nirma/UIFontComplete;NonML;Swift,Objective-C,Ruby
NodeOS/NodeOS;NonML;Shell,JavaScript,Dockerfile
NoelFB/Celeste;NonML;C#
Nonchalant/AppIcon;NonML;Swift,Makefile
Nyx0uf/qlImageSize;NonML;Objective-C,C
OAuth-Apis/apis;NonML;Java,JavaScript
OCNYang/Android-Animation-Set;NonML;Java
OCNYang/ContourView;NonML;Java
OCNYang/QBox;NonML;Java
OfficeDev/Open-Xml-PowerTools;NonML;C#,PowerShell
OfficeDev/office-ui-fabric-core;NonML;SCSS,JavaScript,TypeScript
Olical/EventEmitter;NonML;JavaScript,Shell
Olical/react-faux-dom;NonML;JavaScript,Makefile
OmniSharp/generator-aspnet;NonML;JavaScript,C#,F#
OpenCover/opencover;NonML;C++,C#,Rich Text Format
OpenGeoscience/geonotebook;NonML;Python,Jupyter Notebook,JavaScript
OpenKinect/libfreenect2;NonML;C++,C,Cuda
OpenNI/OpenNI;NonML;C++,C,Java
OpenRCE/sulley;NonML;Python,NSIS
Orderella/PopupDialog;NonML;Swift,Ruby
Otbivnoe/CodableAlamofire;NonML;Swift,Ruby,C
Overv/Open.GL;NonML;PHP,JavaScript,Shell
Ovilia/Polyvia;NonML;JavaScript
P0cL4bs/WiFi-Pumpkin;NonML;Python,Shell,JavaScript
PGBI/kong-dashboard;NonML;JavaScript,Dockerfile,Shell
PHPOffice/PHPExcel;NonML;PHP,Batchfile
POV-Ray/povray;NonML;C++,C,POV-Ray SDL
PSD-Company/duo-navigation-drawer;NonML;Java
PansonPanson/Java-Notes;NonML;
Parsely/streamparse;NonML;Python,Clojure,Shell
ParticleCore/Iridium;NonML;JavaScript
Pash-Project/Pash;NonML;C#,Visual Basic,C++
PatMartin/Dex;NonML;JavaScript,C,Groovy
PaulTaykalo/objc-dependency-visualizer;NonML;JavaScript,Ruby,Shell
PaulUithol/Backbone-relational;NonML;JavaScript
PeterDing/iScript;NonML;Python,JavaScript
PhamBaTho/BTNavigationDropdownMenu;NonML;Swift,Ruby
PhenX/php-svg-lib;NonML;PHP
PhpFriendsOfDdd/state-of-the-union;NonML;
PiXeL16/RevealingSplashView;NonML;Swift,Ruby,Objective-C
Piasy/RxAndroidAudio;NonML;Java,C,CMake
PistonDevelopers/hematite;NonML;Rust,Java
PlusHaze/TrayNotification;NonML;Java
PokemonGoF/PokemonGo-Bot;NonML;Python,JavaScript,Batchfile
Polymer/polymer-starter-kit;NonML;JavaScript
Polytonic/Glitter;NonML;CMake,C++
Pomax/bezierjs;NonML;JavaScript
PowerShell/PowerShell;NonML;C#,PowerShell,Roff
ProgrammingFonts/ProgrammingFonts;NonML;SCSS,Java,PureBasic
ProseMirror/prosemirror;NonML;JavaScript
PuerkitoBio/goquery;NonML;Go,Roff,Shell
QianMo/Unity-Design-Pattern;NonML;C#
Qihoo360/ArgusAPM;NonML;Java,Kotlin,IDL
Qihoo360/Atlas;NonML;C,Makefile,Shell
QingWei-Li/vuep;NonML;JavaScript
Quatja/Vorolay;NonML;Java
QueryKit/QueryKit;NonML;Swift,Ruby,Objective-C
Quobject/SocketIoClientDotNet;NonML;C#,JavaScript
RJT1990/pyflux;NonML;Python
RNCryptor/RNCryptor;NonML;Swift,Ruby
RPISEC/MBE;NonML;C,Shell,C++
Rabrennie/anything.js;NonML;JavaScript,PHP,Shell
RafaelVidaurre/angular-permission;NonML;JavaScript
RafeKettler/magicmethods;NonML;Python,Makefile
RailsApps/rails-composer;NonML;Ruby,Shell
Raimondi/delimitMate;NonML;Vim script,Makefile
Rajawali/Rajawali;NonML;Java,Kotlin,GLSL
Ramotion/adaptive-tab-bar;NonML;Swift,Ruby,Objective-C
Ramotion/android-ui-animation-components-and-libraries;NonML;Java
Ramotion/cardslider-android;NonML;Java
Ramotion/circle-menu;NonML;Swift,Objective-C,Ruby
Ramotion/circle-menu-android;NonML;Java
Ramotion/expanding-collection;NonML;Swift,Objective-C,Ruby
Ramotion/expanding-collection-android;NonML;Java
Ramotion/fluid-slider;NonML;Swift,Ruby,Objective-C
Ramotion/garland-view-android;NonML;Java
Ramotion/gliding-collection;NonML;Swift,Objective-C,Ruby
Ramotion/navigation-stack;NonML;Swift,Objective-C,Ruby
Ramotion/paper-switch;NonML;Swift,Objective-C,Ruby
Ramotion/preview-transition;NonML;Swift,Objective-C,Ruby
Ramotion/reel-search;NonML;Swift,Ruby,Objective-C
React-Proto/react-proto;NonML;JavaScript
ReactKit/SwiftTask;NonML;Swift,Ruby,Objective-C
ReactTraining/react-media;NonML;JavaScript,TypeScript
ReactTraining/react-workshop;NonML;TypeScript,JavaScript,SCSS
ReactiveCocoa/ReactiveObjC;NonML;Objective-C,C,Ruby
ReactiveX/RxNetty;NonML;Java,Shell
ReactiveX/RxPHP;NonML;PHP
RealmTeam/django-rest-framework-social-oauth2;NonML;Python
Robert-JunWang/Pelee;NonML;Jupyter Notebook,Python
RobertWHurst/KeyboardJS;NonML;JavaScript
Rogero0o/CatLoadingView;NonML;Kotlin,Java
RoliSoft/WSL-Distribution-Switcher;NonML;Python,Shell,C
